BTH_YR,GENDER,SCTR_CD,LN_AMT,DLQ_TYPE,DLQ_CD_1,DLQ_CD_2,DLQ_AMT,CD_OPN_CD_1,CD_OPN_CD_2,LN_CD_2
45,0,8,0.0,1.0,6,2,6400.0,0,0,0
46,1,8,0.0,1.0,5,2,10.0,0,0,0
46,1,1,0.0,1.0,1,1,2100.0,0,0,0
35,0,3,0.0,1.0,2,1,5200.0,1,1,0
35,0,3,0.0,1.0,2,1,2200.0,0,0,0
25,0,8,13000.0,0.0,0,0,0.0,0,0,2
42,0,8,0.0,1.0,6,2,9600.0,0,0,0
26,0,0,0.0,0.0,0,0,0.0,1,1,0
40,1,3,0.0,1.0,3,1,1800.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,6,2800.0,0.0,0,0,0.0,0,0,17
47,0,0,0.0,0.0,0,0,0.0,1,1,0
47,0,0,0.0,0.0,0,0,0.0,1,1,0
42,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
38,1,0,0.0,0.0,0,0,0.0,1,1,0
38,1,0,0.0,0.0,0,0,0.0,1,1,0
38,1,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
55,1,0,0.0,0.0,0,0,0.0,1,2,0
55,1,0,0.0,0.0,0,0,0.0,1,2,0
62,1,0,0.0,0.0,0,0,0.0,2,1,0
62,1,0,0.0,0.0,0,0,0.0,1,1,0
45,1,1,500.0,0.0,0,0,0.0,1,1,19
45,1,1,110000.0,0.0,0,0,0.0,0,0,6
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,2,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
24,1,0,0.0,0.0,0,0,0.0,1,1,0
47,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,7,5000.0,1.0,1,2,2800.0,0,0,1
47,0,0,0.0,0.0,0,0,0.0,1,1,0
34,1,0,0.0,0.0,0,0,0.0,1,1,0
52,1,0,0.0,0.0,0,0,0.0,1,1,0
52,1,0,0.0,0.0,0,0,0.0,1,1,0
52,1,0,0.0,0.0,0,0,0.0,2,1,0
44,1,0,0.0,0.0,0,0,0.0,1,1,0
44,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
36,0,0,0.0,0.0,0,0,0.0,1,1,0
36,0,0,0.0,0.0,0,0,0.0,1,1,0
36,0,0,0.0,0.0,0,0,0.0,1,1,0
39,1,7,8400.0,0.0,0,0,0.0,0,0,1
39,1,3,3400.0,1.0,2,2,3300.0,1,1,19
39,1,3,150.0,0.0,0,0,0.0,1,1,19
55,1,0,0.0,0.0,0,0,0.0,1,1,0
55,1,0,0.0,0.0,0,0,0.0,1,1,0
55,1,0,0.0,0.0,0,0,0.0,1,1,0
46,1,0,0.0,0.0,0,0,0.0,1,1,0
46,1,0,0.0,0.0,0,0,0.0,1,1,0
59,1,0,0.0,0.0,0,0,0.0,1,1,0
59,1,0,0.0,0.0,0,0,0.0,1,1,0
59,1,0,0.0,0.0,0,0,0.0,1,1,0
59,1,0,0.0,0.0,0,0,0.0,1,2,0
67,0,0,0.0,0.0,0,0,0.0,1,1,0
67,0,0,0.0,0.0,0,0,0.0,1,2,0
67,0,0,0.0,0.0,0,0,0.0,1,1,0
48,1,0,0.0,0.0,0,0,0.0,1,1,0
52,0,8,0.0,1.0,2,2,5000.0,0,0,0
27,1,8,0.0,1.0,4,2,3600.0,0,0,0
57,0,8,0.0,1.0,5,2,280.0,0,0,0
55,0,8,0.0,1.0,6,1,160000.0,0,0,0
45,0,6,0.0,1.0,5,1,450.0,0,0,0
43,0,3,0.0,1.0,3,1,390.0,0,0,0
26,1,1,0.0,1.0,1,1,11000.0,0,0,0
49,0,6,0.0,1.0,1,1,54000.0,0,0,0
38,0,8,0.0,1.0,6,2,13000.0,0,0,0
34,0,8,0.0,1.0,4,2,800.0,0,0,0
30,0,8,0.0,1.0,5,2,370.0,0,0,0
42,1,3,0.0,1.0,3,1,3100.0,1,1,0
35,0,8,0.0,1.0,4,2,670.0,0,0,0
54,0,3,0.0,1.0,2,1,1000.0,1,1,0
62,0,8,0.0,1.0,4,2,6300.0,0,0,0
62,0,3,0.0,1.0,2,1,5000.0,1,1,0
37,0,3,0.0,1.0,3,1,1600.0,1,1,0
46,1,8,0.0,1.0,6,2,730.0,0,0,0
67,0,3,0.0,1.0,3,1,400.0,1,1,0
67,0,8,0.0,1.0,6,2,2900.0,0,0,0
48,0,8,0.0,1.0,5,2,9400.0,0,0,0
27,0,8,0.0,1.0,5,2,1200.0,0,0,0
59,0,8,0.0,1.0,5,2,1700.0,0,0,0
58,0,2,0.0,1.0,1,1,7200.0,0,0,0
58,0,7,0.0,1.0,1,2,2700.0,0,0,0
58,0,1,0.0,1.0,1,1,3100.0,0,0,0
45,1,3,0.0,1.0,3,1,4900.0,1,1,0
37,0,3,0.0,1.0,3,1,3300.0,1,1,0
57,0,8,0.0,1.0,6,2,57000.0,0,0,0
39,0,6,0.0,1.0,1,1,15000.0,0,0,0
65,1,8,0.0,1.0,5,2,220.0,0,0,0
27,0,8,0.0,1.0,7,2,7100.0,0,0,0
72,0,1,0.0,1.0,1,1,7900.0,0,0,0
49,1,8,0.0,1.0,5,2,1500.0,0,0,0
38,0,2,0.0,1.0,1,2,5000.0,0,0,0
44,0,3,0.0,1.0,2,1,8400.0,0,0,0
48,0,2,0.0,1.0,1,1,1900.0,0,0,0
40,0,8,0.0,1.0,6,2,7100.0,0,0,0
62,0,8,0.0,1.0,5,2,820.0,0,0,0
52,1,3,0.0,1.0,3,1,300.0,0,0,0
49,0,8,0.0,1.0,5,2,870.0,0,0,0
33,1,3,0.0,1.0,3,1,1100.0,1,1,0
33,1,8,0.0,1.0,6,2,6500.0,0,0,0
39,1,1,0.0,1.0,3,1,6500.0,1,1,0
38,1,1,0.0,1.0,1,1,3800.0,0,0,0
21,1,8,0.0,1.0,5,2,2100.0,0,0,0
46,0,6,0.0,1.0,1,1,500.0,0,0,0
33,0,8,0.0,1.0,5,2,780.0,0,0,0
38,1,8,0.0,1.0,6,2,10000.0,0,0,0
51,0,8,0.0,1.0,6,1,8300.0,0,0,0
51,0,8,0.0,1.0,5,2,8400.0,0,0,0
51,0,8,0.0,1.0,6,2,7800.0,0,0,0
57,0,7,0.0,1.0,1,2,270.0,0,0,0
57,0,3,0.0,1.0,3,1,1900.0,1,1,0
71,1,8,0.0,1.0,6,2,3100.0,0,0,0
39,0,7,9800.0,1.0,1,2,18000.0,0,0,1
39,0,1,810.0,1.0,1,2,870.0,0,0,1
39,0,1,150000.0,1.0,1,2,870.0,0,0,6
39,0,3,260.0,0.0,0,0,0.0,1,1,19
39,0,7,6800.0,0.0,0,0,0.0,0,0,1
39,0,7,17000.0,0.0,0,0,0.0,0,0,6
64,1,1,0.0,1.0,3,1,1500.0,1,2,0
27,0,3,0.0,1.0,3,1,230.0,2,1,0
67,0,8,0.0,1.0,4,2,100.0,0,0,0
67,0,8,0.0,1.0,5,2,490.0,0,0,0
64,0,8,0.0,1.0,6,1,9500.0,0,0,0
45,1,3,0.0,1.0,3,1,150.0,1,1,0
55,0,3,0.0,1.0,3,1,24000.0,1,1,0
40,1,8,0.0,1.0,6,2,5200.0,0,0,0
38,0,8,0.0,1.0,6,2,10000.0,0,0,0
52,1,8,0.0,1.0,6,2,43000.0,0,0,0
52,1,7,0.0,1.0,1,2,3500.0,0,0,0
78,0,1,0.0,1.0,8,2,10000.0,0,0,0
44,0,1,0.0,1.0,1,1,7200.0,0,0,0
44,0,8,0.0,1.0,5,2,460.0,0,0,0
44,0,6,0.0,1.0,1,1,2100.0,0,0,0
48,0,8,0.0,1.0,5,2,16000.0,0,0,0
43,0,8,0.0,1.0,1,2,53000.0,0,0,0
40,0,1,0.0,1.0,3,1,70.0,0,0,0
34,0,8,0.0,1.0,6,1,10000.0,0,0,0
41,0,8,0.0,1.0,6,1,21000.0,0,0,0
28,0,8,0.0,1.0,5,2,2500.0,0,0,0
37,0,3,0.0,1.0,3,1,3100.0,1,1,0
36,1,8,0.0,1.0,5,2,3500.0,0,0,0
36,1,8,0.0,1.0,6,2,9000.0,0,0,0
22,1,8,0.0,1.0,6,2,420000.0,0,0,0
62,0,3,0.0,1.0,3,1,1500.0,1,1,0
62,0,1,0.0,1.0,2,2,19000.0,0,0,0
62,0,3,0.0,1.0,3,1,9600.0,1,1,0
57,0,3,0.0,1.0,3,1,360.0,1,1,0
38,0,8,0.0,1.0,5,2,1000.0,0,0,0
36,0,8,0.0,1.0,5,2,1400.0,0,0,0
64,0,8,0.0,1.0,5,2,10000.0,0,0,0
48,1,3,0.0,1.0,3,1,60.0,1,1,0
43,0,7,0.0,1.0,5,2,1600.0,0,0,0
38,1,6,0.0,1.0,1,1,1400.0,0,0,0
67,0,1,0.0,1.0,8,2,3000.0,0,0,0
49,1,8,0.0,1.0,5,2,2600.0,0,0,0
57,0,8,0.0,1.0,5,2,1800.0,0,0,0
60,1,2,0.0,1.0,1,1,16000.0,0,0,0
50,1,8,0.0,1.0,6,2,20000.0,0,0,0
50,1,3,0.0,1.0,3,1,110.0,1,1,0
50,1,3,0.0,1.0,3,1,1600.0,1,1,0
35,1,3,1800.0,0.0,0,0,0.0,1,1,19
35,1,3,100.0,0.0,0,0,0.0,1,1,19
35,1,3,12000.0,0.0,0,0,0.0,1,1,19
35,1,3,40.0,0.0,0,0,0.0,1,1,19
35,1,5,14000.0,0.0,0,0,0.0,0,0,1
35,1,5,16000.0,0.0,0,0,0.0,0,0,1
24,1,0,0.0,0.0,0,0,0.0,1,1,0
64,0,8,0.0,1.0,6,1,19000.0,0,0,0
58,1,8,0.0,1.0,5,2,11000.0,0,0,0
58,1,8,0.0,1.0,5,2,1000.0,0,0,0
43,0,1,0.0,1.0,3,1,970.0,0,0,0
43,0,1,0.0,1.0,1,1,7300.0,0,0,0
43,0,3,0.0,1.0,3,1,9300.0,1,1,0
43,0,3,0.0,1.0,3,1,2100.0,1,1,0
40,0,8,0.0,1.0,6,2,440.0,0,0,0
48,0,3,0.0,1.0,3,2,1000.0,1,2,0
48,0,3,0.0,1.0,3,2,1000.0,1,1,0
34,1,8,0.0,1.0,6,2,6200.0,0,0,0
21,1,8,0.0,1.0,4,2,1100.0,0,0,0
43,0,8,0.0,1.0,7,2,6100.0,0,0,0
36,1,8,0.0,1.0,5,2,1000.0,0,0,0
39,0,7,0.0,1.0,1,2,1700.0,0,0,0
24,1,0,0.0,0.0,0,0,0.0,1,1,0
24,1,0,0.0,0.0,0,0,0.0,1,1,0
27,0,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
48,0,0,0.0,0.0,0,0,0.0,1,1,0
65,1,0,0.0,0.0,0,0,0.0,1,1,0
65,1,0,0.0,0.0,0,0,0.0,1,1,0
65,1,0,0.0,0.0,0,0,0.0,1,1,0
22,1,8,9900.0,0.0,0,0,0.0,0,0,2
22,1,8,15000.0,0.0,0,0,0.0,0,0,2
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,2,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
51,0,0,0.0,0.0,0,0,0.0,1,1,0
64,0,0,0.0,0.0,0,0,0.0,1,1,0
64,0,0,0.0,0.0,0,0,0.0,1,1,0
44,1,0,0.0,0.0,0,0,0.0,1,1,0
44,1,0,0.0,0.0,0,0,0.0,1,1,0
29,0,1,10000.0,0.0,0,0,0.0,0,0,4
44,1,0,0.0,0.0,0,0,0.0,1,1,0
59,1,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
43,1,0,0.0,0.0,0,0,0.0,1,1,0
43,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,2,1,0
40,0,3,30.0,0.0,0,0,0.0,1,1,19
51,1,0,0.0,0.0,0,0,0.0,1,1,0
48,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
49,1,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
52,1,6,1100.0,0.0,0,0,0.0,0,0,11
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
37,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
57,1,0,0.0,0.0,0,0,0.0,1,1,0
60,1,1,3300.0,0.0,0,0,0.0,1,1,19
24,0,0,0.0,0.0,0,0,0.0,1,1,0
78,1,0,0.0,0.0,0,0,0.0,1,1,0
44,1,8,16000.0,0.0,0,0,0.0,0,0,5
22,1,0,0.0,0.0,0,0,0.0,1,1,0
22,1,0,0.0,0.0,0,0,0.0,2,1,0
34,1,0,0.0,0.0,0,0,0.0,1,1,0
63,1,0,0.0,0.0,0,0,0.0,2,1,0
39,1,0,0.0,0.0,0,0,0.0,1,1,0
66,0,0,0.0,0.0,0,0,0.0,1,1,0
48,1,3,570.0,0.0,0,0,0.0,1,1,19
27,0,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
31,1,0,0.0,0.0,0,0,0.0,1,1,0
29,1,0,0.0,0.0,0,0,0.0,1,1,0
29,1,0,0.0,0.0,0,0,0.0,1,1,0
29,1,0,0.0,0.0,0,0,0.0,1,1,0
27,1,0,0.0,0.0,0,0,0.0,1,1,0
47,0,0,0.0,0.0,0,0,0.0,1,1,0
47,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
41,0,0,0.0,0.0,0,0,0.0,1,1,0
41,0,0,0.0,0.0,0,0,0.0,1,1,0
20,0,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
78,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
67,0,0,0.0,0.0,0,0,0.0,1,1,0
67,0,0,0.0,0.0,0,0,0.0,1,1,0
64,1,0,0.0,0.0,0,0,0.0,1,1,0
45,1,0,0.0,0.0,0,0,0.0,1,1,0
48,0,0,0.0,0.0,0,0,0.0,1,1,0
20,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
78,1,0,0.0,0.0,0,0,0.0,1,1,0
32,0,0,0.0,0.0,0,0,0.0,1,1,0
32,0,0,0.0,0.0,0,0,0.0,1,1,0
69,0,2,26000.0,0.0,0,0,0.0,1,1,10
32,0,0,0.0,0.0,0,0,0.0,1,1,0
32,0,0,0.0,0.0,0,0,0.0,1,1,0
44,0,0,0.0,0.0,0,0,0.0,1,1,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
44,0,0,0.0,0.0,0,0,0.0,1,1,0
30,1,0,0.0,0.0,0,0,0.0,1,1,0
30,1,0,0.0,0.0,0,0,0.0,1,1,0
30,1,0,0.0,0.0,0,0,0.0,1,2,0
57,0,0,0.0,0.0,0,0,0.0,1,1,0
42,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
52,0,0,0.0,0.0,0,0,0.0,1,1,0
52,0,0,0.0,0.0,0,0,0.0,1,1,0
52,0,0,0.0,0.0,0,0,0.0,1,1,0
52,1,1,150000.0,0.0,0,0,0.0,0,0,6
42,0,0,0.0,0.0,0,0,0.0,1,1,0
67,0,0,0.0,0.0,0,0,0.0,1,1,0
23,1,0,0.0,0.0,0,0,0.0,1,1,0
63,1,3,0.0,1.0,2,1,900.0,0,0,0
40,0,0,0.0,0.0,0,0,0.0,1,1,0
53,0,0,0.0,0.0,0,0,0.0,1,1,0
41,1,0,0.0,0.0,0,0,0.0,1,1,0
41,1,0,0.0,0.0,0,0,0.0,1,1,0
31,0,0,0.0,0.0,0,0,0.0,1,1,0
63,0,0,0.0,0.0,0,0,0.0,1,1,0
63,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
42,0,0,0.0,0.0,0,0,0.0,1,1,0
27,0,0,0.0,0.0,0,0,0.0,1,1,0
17,0,0,0.0,0.0,0,0,0.0,1,2,0
37,0,7,30000.0,0.0,0,0,0.0,0,0,1
37,0,7,5800.0,0.0,0,0,0.0,0,0,1
37,0,7,86000.0,0.0,0,0,0.0,0,0,6
46,0,0,0.0,0.0,0,0,0.0,1,1,0
46,0,0,0.0,0.0,0,0,0.0,1,1,0
46,0,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
77,1,0,0.0,0.0,0,0,0.0,1,1,0
49,0,0,0.0,0.0,0,0,0.0,1,1,0
49,0,0,0.0,0.0,0,0,0.0,1,1,0
49,0,0,0.0,0.0,0,0,0.0,1,1,0
41,1,0,0.0,0.0,0,0,0.0,1,1,0
49,0,0,0.0,0.0,0,0,0.0,1,1,0
35,1,0,0.0,0.0,0,0,0.0,1,1,0
35,1,0,0.0,0.0,0,0,0.0,1,1,0
27,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
60,0,0,0.0,0.0,0,0,0.0,1,1,0
34,1,0,0.0,0.0,0,0,0.0,1,1,0
58,1,0,0.0,0.0,0,0,0.0,1,1,0
58,1,0,0.0,0.0,0,0,0.0,1,2,0
58,1,0,0.0,0.0,0,0,0.0,1,1,0
58,1,0,0.0,0.0,0,0,0.0,1,2,0
58,1,0,0.0,0.0,0,0,0.0,1,1,0
49,0,0,0.0,0.0,0,0,0.0,1,1,0
34,1,0,0.0,0.0,0,0,0.0,1,1,0
51,1,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
38,0,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
22,1,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
39,0,0,0.0,0.0,0,0,0.0,1,1,0
50,1,0,0.0,0.0,0,0,0.0,1,1,0
50,1,0,0.0,0.0,0,0,0.0,1,1,0
50,1,0,0.0,0.0,0,0,0.0,1,1,0
26,1,0,0.0,0.0,0,0,0.0,1,1,0
35,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
56,1,0,0.0,0.0,0,0,0.0,1,2,0
56,1,0,0.0,0.0,0,0,0.0,1,1,0
32,1,0,0.0,0.0,0,0,0.0,1,1,0
43,0,0,0.0,0.0,0,0,0.0,1,1,0
43,0,0,0.0,0.0,0,0,0.0,1,1,0
43,0,0,0.0,0.0,0,0,0.0,1,1,0
58,0,0,0.0,0.0,0,0,0.0,1,1,0
34,0,0,0.0,0.0,0,0,0.0,1,1,0
34,0,0,0.0,0.0,0,0,0.0,1,1,0
73,0,0,0.0,0.0,0,0,0.0,1,1,0
51,0,0,0.0,0.0,0,0,0.0,1,1,0
51,0,0,0.0,0.0,0,0,0.0,1,1,0
51,0,0,0.0,0.0,0,0,0.0,1,1,0
65,0,0,0.0,0.0,0,0,0.0,1,1,0
65,0,0,0.0,0.0,0,0,0.0,1,2,0
65,0,0,0.0,0.0,0,0,0.0,1,1,0
65,0,0,0.0,0.0,0,0,0.0,1,1,0
65,0,0,0.0,0.0,0,0,0.0,1,1,0
58,0,0,0.0,0.0,0,0,0.0,1,1,0
35,1,1,5900.0,0.0,0,0,0.0,0,0,1
35,1,1,100000.0,0.0,0,0,0.0,0,0,6
30,0,0,0.0,0.0,0,0,0.0,1,1,0
36,1,0,0.0,0.0,0,0,0.0,1,1,0
73,0,0,0.0,0.0,0,0,0.0,1,1,0
21,0,0,0.0,0.0,0,0,0.0,1,1,0
21,0,0,0.0,0.0,0,0,0.0,1,1,0
34,0,0,0.0,0.0,0,0,0.0,1,1,0
59,0,0,0.0,0.0,0,0,0.0,1,1,0
59,0,0,0.0,0.0,0,0,0.0,1,1,0
59,0,0,0.0,0.0,0,0,0.0,1,1,0
39,1,0,0.0,0.0,0,0,0.0,2,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
45,0,0,0.0,0.0,0,0,0.0,1,1,0
45,0,0,0.0,0.0,0,0,0.0,1,1,0
45,0,0,0.0,0.0,0,0,0.0,1,1,0
74,1,0,0.0,0.0,0,0,0.0,1,1,0
28,1,0,0.0,0.0,0,0,0.0,1,1,0
45,0,0,0.0,0.0,0,0,0.0,1,1,0
52,0,0,0.0,0.0,0,0,0.0,1,1,0
45,0,0,0.0,0.0,0,0,0.0,1,1,0
61,0,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
56,0,0,0.0,0.0,0,0,0.0,1,1,0
